,,,,,,,,data_referencia;cod_ibge;txt_municipio;mcmv_fgts_txt_uf;txt_regiao;data_assinatura_financiamento;qtd_uh_financiadas;vlr_financiamento;vlr_subsidio_desconto_fgts;vlr_subsidio_desconto_ogu;vlr_subsidio_equilíbrio_fgts;vlr_subsidio_equilíbrio_ogu;vlr_compra;vlr_renda_familiar;txt_programa_fgts;num_taxa_juros;txt_tipo_imovel;bln_cotista;txt_sistema_amortizacao;dte_nascimento;txt_compatibilidade_faixa_renda;txt_nome_empreendimento
02/05/2025;292740;Salvador ;BA;Nordeste;2022-10-10;1;245000,0;0,0;0,0;0,0;0,0;350000,0;17325,85;Pró-Cotista;7,66;Usado;S;price;1989-07-18;Fora MCMV/CVA;
02/05/2025;520870;Goiânia ;GO;Centro-Oeste;2012-05-29;1;97848,94;0,0;0,0;13233,039999999999;0,0;109635,0;2694,55;Carta de Crédito Individual;5,5;Usado;N;price;;Faixa 2;
02/05/2025;210120;Bacabal ;MA;Nordeste;2020-07-30;1;73700,0;0,0;0,0;20999,99;0,0;100000,0;2234,54;Carta de Crédito Individual;5,0;Usado;S;sac;1995-12-30;Fora MCMV/CVA;
02/05/2025;330100;Campos dos Goytacazes ;RJ;Sudeste;2022-01-06;1;89321,34;13710,0;0,0;18626,02;0,0;150000,0;1667,12;Apoio à Produção;5,0;Novo;N;price;1988-05-31;Faixa 1;
02/05/2025;150275;Concórdia do Pará ;PA;Norte;2025-03-21;1;116202,0;33798,0;0,0;21755,19;0,0;150000,0;2050,0;Carta de Crédito Individual;;Novo;;;;Faixa 1;,
02/05/2025;420290;Brusque ;SC;Sul;2018-08-13;1;120000,0;1442,7;160,3;6987,79;776,4300000000001;150000,0;3817,23;Carta de Crédito Individual;6,5;Novo;S;price;1990-10-25;Faixa 2;
02/05/2025;410420;Campo Largo ;PR;Sul;2023-04-28;1;150295,74;6924,0;0,0;2866,3;0,0;199000,0;3072,34;Carta de Crédito Individual;5,5;Novo;S;price;1993-06-19;Faixa 2;
02/05/2025;315280;Prata ;MG;Sudeste;2013-11-04;1;71483,77;6732,0;1428,0;13199,99175;2799,9982500000015;90000,0;1850,0;Carta de Crédito Individual;5,0;Novo;N;price;;Faixa 2;
02/05/2025;320500;Serra ;ES;Sudeste;2021-05-28;1;137600,0;2415,0;0,0;0,0;0,0;172000,0;3297,14;Apoio à Produção;6,5;Novo;S;price;1987-07-08;Faixa 2;
02/05/2025;351770;Guará ;SP;Sudeste;2018-09-26;1;87670,0;1579,5;175,5;17099,989999999998;1900,0;110000,0;2648,61;Carta de Crédito Individual;5,5;Novo;S;sac;1989-06-05;Faixa 2;
